Suma z Czas;Etykiety kolumn;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Etykiety wierszy;100;200;300;400;500;600;700;800;900;1000;1100;1200;1300;1400;1500;1600;1700;1800;1900;2000;2100;2200;2300;2400;2500;2600;2700;2800;2900;(puste);Suma koñcowa
dfs_krawedzie;0,025033951;0,182177544;0,596673489;1,425238609;2,91522193;5,033273458;7,837039471;11,6934154;16,71947336;22,70095634;30,15193272;38,9829545;49,59790349;61,90236163;77,02313685;93,62483239;111,9926512;131,6871572;155,3189008;181,9729073;210,2545576;242,0384214;274,7182643;310,6665995;352,8373611;398,4941838;446,9439607;491,7868288;549,8299274;;4278,953346
dfs_nastepniki;0,001000404;0,004994154;0,011011362;0,021019697;0,034032583;0,046045303;0,066063404;0,08509326;0,108106136;0,135118246;0,163209438;0,195208311;0,228242874;0,26631999;0,302324533;0,347839355;0,418412447;0,440306187;0,49246645;0,546104193;0,638661146;0,657132387;0,730743647;0,838462353;0,884938478;0,923920393;1,045684576;1,113634825;1,1462605;;11,89235663
dfs_sasiedztwa;0,001001358;0,003514767;0,009008646;0,01601553;0,025023699;0,03703618;0,050071478;0,066064358;0,083101511;0,104110241;0,126122236;0,149681091;0,177172899;0,205688477;0,236238003;0,274297237;0,305308819;0,342584848;0,381776571;0,420985937;0,513510227;0,508477926;0,572646618;0,610297203;0,659668446;0,716646671;0,77874732;0,829632521;0,887906551;;9,09233737
Generowanie;0,012512922;0,048045874;0,11511302;0,207230806;0,31636095;0,484497309;0,652697086;0,84119153;1,054747581;1,29217124;1,624422073;1,983540535;2,239262342;2,59271884;2,997939348;3,638296843;3,87646699;4,254678726;4,754251719;5,202333927;6,040301561;6,674782515;7,416800499;7,941671133;8,469706297;9,265725613;9,954463243;11,19355512;11,34638572;;116,4918714
(puste);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Suma koñcowa;0,039548635;0,238732338;0,731806517;1,669504642;3,290639162;5,600852251;8,605871439;12,68576455;17,96542859;24,23235607;32,06568646;41,31138444;52,24258161;64,96708894;80,55963874;97,88526583;116,5928395;136,7247269;160,9473956;188,1423314;217,4470305;249,8788142;283,4384551;320,0570302;362,8516743;409,4004765;458,7228558;504,9236512;563,2104802;;4416,429912
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;100;200;300;400;500;600;700;800;900;1000;1100;1200;1300;1400;1500;1600;1700;1800;1900;2000;2100;2200;2300;2400;2500;2600;2700;2800;2900;;
dfs_krawedzie;0,025033951;0,182177544;0,596673489;1,425238609;2,91522193;5,033273458;7,837039471;11,6934154;16,71947336;22,70095634;30,15193272;38,9829545;49,59790349;61,90236163;77,02313685;93,62483239;111,9926512;131,6871572;155,3189008;181,9729073;210,2545576;242,0384214;274,7182643;310,6665995;352,8373611;398,4941838;446,9439607;491,7868288;549,8299274;;
dfs_nastepniki;0,001000404;0,004994154;0,011011362;0,021019697;0,034032583;0,046045303;0,066063404;0,08509326;0,108106136;0,135118246;0,163209438;0,195208311;0,228242874;0,26631999;0,302324533;0,347839355;0,418412447;0,440306187;0,49246645;0,546104193;0,638661146;0,657132387;0,730743647;0,838462353;0,884938478;0,923920393;1,045684576;1,113634825;1,1462605;;
dfs_sasiedztwa;0,001001358;0,003514767;0,009008646;0,01601553;0,025023699;0,03703618;0,050071478;0,066064358;0,083101511;0,104110241;0,126122236;0,149681091;0,177172899;0,205688477;0,236238003;0,274297237;0,305308819;0,342584848;0,381776571;0,420985937;0,513510227;0,508477926;0,572646618;0,610297203;0,659668446;0,716646671;0,77874732;0,829632521;0,887906551;;
Generowanie;0,012512922;0,048045874;0,11511302;0,207230806;0,31636095;0,484497309;0,652697086;0,84119153;1,054747581;1,29217124;1,624422073;1,983540535;2,239262342;2,59271884;2,997939348;3,638296843;3,87646699;4,254678726;4,754251719;5,202333927;6,040301561;6,674782515;7,416800499;7,941671133;8,469706297;9,265725613;9,954463243;11,19355512;11,34638572;;
